names;resolution;rangeSensitivity;price;opinions;customerEvalution;opinion_status
Sony Cyber Shot;20;12800;3199;6;1;less than 50
Sony ZV-1;18;12000;2949;4;2;less than 50
DSC H-300;20;6400;1399;126;3;more than 100 opinions
Panasonic Lumix DC-FZ82;18;6400;1519;94;4;50-100 opinions
Canon PowerShot G7 X Mark II;20;25600;2899;78;5;50-100 opinions
Canon PowerShot SX620 HS;20;3200;1199;68;6;50-100 opinions
Sony Cyber-shot DSC-W830;20;3200;699;66;7;50-100 opinions
Nikon Coolpix P1000;16;6400;4899;52;8;50-100 opinions
Sony Cyber-shot DSC-W830;20;3200;699;33;9;less than 50
Extralink Kids Camera H20;8;0;59;5;10;less than 50
Sony Cyber-shot DSC-RX100 III;20;12800;3199;6;11;less than 50
Kodak PixPro AZ401;16;3200;899;6;4.5;less than 50
Canon PowerShot SX740 HS;20;3200;1809;5;5;less than 50
Extralink Kids Camera H27 Dual;20;0;139;5;2;less than 50
Ricoh WG-6;20;6400;1999;3;4.5;less than 50
